議員名,単語A,単語B,共起回数
いたいひとし,fi,wi,2
いたいひとし,fi,集会,2
いたいひとし,wi,集会,2
いたいひとし,保護者,支援,2
いたいひとし,児童,公園,2
いたいひとし,児童,支援,6
いたいひとし,児童,特別支援学級,2
いたいひとし,児童,生徒,4
いたいひとし,児童,移動,2
いたいひとし,児童,通学,2
いたいひとし,公園,支援,2
いたいひとし,公園,特別支援学級,2
いたいひとし,公園,生徒,2
いたいひとし,公園,移動,2
いたいひとし,公園,通学,2
いたいひとし,支援,条例,3
いたいひとし,支援,特別支援学級,2
いたいひとし,支援,生徒,2
いたいひとし,支援,町会,6
いたいひとし,支援,町作り,4
いたいひとし,支援,移動,3
いたいひとし,支援,自治会,2
いたいひとし,支援,通学,2
いたいひとし,支援,集会,2
いたいひとし,条例,町作り,2
いたいひとし,特別支援学級,生徒,2
いたいひとし,特別支援学級,移動,2
いたいひとし,特別支援学級,通学,2
いたいひとし,生徒,移動,2
いたいひとし,生徒,通学,2
いたいひとし,町会,町作り,2
いたいひとし,町会,自治会,4
いたいひとし,町会,集会,2
いたいひとし,町作り,自治会,2
いたいひとし,移動,通学,2
いたいひとし,便益,公園,2
いたいひとし,便益,野毛町,2
いたいひとし,公園,野毛町,8
いたいひとし,教育長,生徒,2
いたいひとし,ガバナンス,チェック,2
いたいひとし,ガバナンス,ビジョン,2
いたいひとし,ガバナンス,公営,2
いたいひとし,ガバナンス,動向,2
いたいひとし,ガバナンス,区長,2
いたいひとし,ガバナンス,図書館,2
いたいひとし,ガバナンス,御願い,2
いたいひとし,ガバナンス,直営,2
いたいひとし,ガバナンス,車座,2
いたいひとし,ガバナンス,集会,2
いたいひとし,チェック,ビジョン,2
いたいひとし,チェック,公営,2
いたいひとし,チェック,動向,2
いたいひとし,チェック,区長,2
いたいひとし,チェック,図書館,2
いたいひとし,チェック,御願い,2
いたいひとし,チェック,直営,2
いたいひとし,チェック,車座,2
いたいひとし,チェック,集会,2
いたいひとし,ビジョン,公営,2
いたいひとし,ビジョン,動向,2
いたいひとし,ビジョン,区長,4
いたいひとし,ビジョン,図書館,4
いたいひとし,ビジョン,御願い,2
いたいひとし,ビジョン,直営,2
いたいひとし,ビジョン,車座,2
いたいひとし,ビジョン,集会,2
いたいひとし,公営,動向,2
いたいひとし,公営,区長,2
いたいひとし,公営,図書館,2
いたいひとし,公営,御願い,2
いたいひとし,公営,直営,2
いたいひとし,公営,車座,2
いたいひとし,公営,集会,2
いたいひとし,動向,区長,2
いたいひとし,動向,図書館,2
いたいひとし,動向,御願い,2
いたいひとし,動向,直営,2
いたいひとし,動向,車座,2
いたいひとし,動向,集会,2
いたいひとし,区長,図書館,8
いたいひとし,区長,御願い,2
いたいひとし,区長,直営,2
いたいひとし,区長,車座,2
いたいひとし,区長,集会,3
いたいひとし,図書館,御願い,2
いたいひとし,図書館,直営,2
いたいひとし,図書館,車座,2
いたいひとし,図書館,集会,4
いたいひとし,御願い,直営,2
いたいひとし,御願い,車座,2
いたいひとし,御願い,集会,2
いたいひとし,直営,車座,2
いたいひとし,直営,集会,2
いたいひとし,車座,集会,3
いたいひとし,ビジョン,レファレンス,2
いたいひとし,ビジョン,中立,2
いたいひとし,ビジョン,五十代,2
いたいひとし,ビジョン,人数,2
いたいひとし,ビジョン,任用,2
いたいひとし,ビジョン,会計年度,2
いたいひとし,ビジョン,司書,2
いたいひとし,ビジョン,困難,2
いたいひとし,ビジョン,国会,2
いたいひとし,ビジョン,定数,2
いたいひとし,ビジョン,常勤,2
いたいひとし,ビジョン,政治的,2
いたいひとし,ビジョン,教育,2
いたいひとし,ビジョン,現実,2
いたいひとし,ビジョン,職員,2
いたいひとし,ビジョン,若手,2
いたいひとし,ビジョン,退職,2
いたいひとし,レファレンス,中立,2
いたいひとし,レファレンス,五十代,2
いたいひとし,レファレンス,人数,2
いたいひとし,レファレンス,任用,2
いたいひとし,レファレンス,会計年度,2
いたいひとし,レファレンス,区長,2
いたいひとし,レファレンス,司書,2
いたいひとし,レファレンス,困難,2
いたいひとし,レファレンス,図書館,2
